ID,Russian,Lemma,Agency
743,кланяться,bow,neutral
658,выживать,survive,positive
833,сбрасывать,dump,positive
194,истощать,exhaust,negative
955,забирать,withdraw,positive
1924,валять,clown,neutral
1541,убеждать,convince,neutral
34,ломать,break,positive
36,лежать,lie,neutral
1705,смущать,confuse,neutral
1579,поклоняться,worship,neutral
317,отчуждать,alien,negative
232,выдерживать,endure,neutral
1820,снимать,skin,negative
189,выслеживать,tail,positive
119,блокировать,block,positive
1197,хлопать,slam,neutral
324,отсутствовать,absent,negative
188,смущать,confuse,neutral
1914,откладывать,postpone,neutral
184,осушать,drain,neutral
844,проливать,shed,neutral
1107,ронять,drop,neutral
1371,сдувать,deflate,neutral
1765,беспокоить,disturb,neutral
639,хоронить,bury,neutral
1945,седлать,saddle,positive
403,преувеличивать,exaggerate,neutral
1804,чернить,blacken,neutral
1948,не одобрить,disapprove,neutral
96,ломать,break,positive
307,прятать,hide,positive
1589,обожать,adore,neutral
603,избегать,avoid,neutral
1620,пилить,saw,positive
223,признаваться,confess,neutral
1587,заканчивать,end,positive
301,извергаться,erupt,positive
1334,спускать,leash,positive
1428,дополнять,supplement,positive
1418,пищать,peep,neutral
1426,льстить,flatter,neutral
1431,привязывать,strap,neutral
1425,требовать,demand,positive
1419,усиливать,amplify,positive
1420,исходить,emanate,neutral
1421,воодушевлять,spirit,positive
1430,потеть,sweat,neutral
1429,перемещать,relocate,positive
1423,привлекать,appeal,neutral
1427,заклинивать,jam,negative
1424,вызывать,evoke,neutral
1422,помещать,place,neutral
1,продолжать,continue,neutral
1433,купать,bathe,neutral
1462,роднить,relate,neutral
1461,размышлять,mull,neutral
1460,трудиться,toil,neutral
1459,совершенствовать,perfect,positive
1458,косить,mow,positive
1457,возвышать,dignify,positive
1456,дезертировать,defect,negative
1455,свирепо,glower,negative
1454,сходиться,converge,neutral
1453,сеять,sow,positive
1452,проклинать,damn,negative
1451,умолять,implore,negative
1450,целовать,kiss,neutral
1449,выгуливать,outing,neutral
1448,кормить,feed,neutral
1447,финансировать,fund,positive
1446,указывать,specify,positive
1445,упаковывать,pack,neutral
1444,пересекать,crisscross,neutral
1443,действовать,operate,positive
1442,чихать,sneeze,negative
1441,дразнить,tease,neutral
1440,выкупать,redeem,positive
1439,резонировать,resonate,neutral
1417,дуться,pout,negative
1437,осмеливаться,dare,positive
1436,активировать,activate,positive
1435,формулировать,formulate,positive
1434,сидеть,sit,neutral
1432,помогать,avail,positive
1438,рыскать,prowl,positive
1406,выцветать,fade,negative
1415,мешать,thwart,positive
1382,дублировать,dub,positive
1381,повышать,heighten,positive
1380,бросать,challenge,neutral
1379,оглядываться,retrospect,neutral
1378,есть,eat,neutral
1377,искриться,sparkle,neutral
1376,оглушать,din,neutral
1375,означать,signify,neutral
1374,вытеснять,displace,positive
1373,завидовать,grudge,negative
1372,конфисковать,confiscate,positive
1370,уважать,esteem,positive
1369,соседствовать,neighbor,neutral
1383,взволновать,thrill,neutral
1368,излучать,emit,neutral
1366,зачислять,enrol,positive
1365,кипятить,boil,neutral
1364,уважать,respect,neutral
1363,сказать,say,neutral
1362,беспокоить,trouble,negative
1361,включать,incorporate,positive
1360,расставаться,part,neutral
1359,удовлетворять,satisfy,neutral
1358,хрипеть,wheeze,negative
1357,бездельничать,slug,positive
1356,группировать,batch,neutral
1355,извергать,spew,positive
1354,уведомлять,notify,neutral
1367,уничтожать,obliterate,positive
1416,светиться,glow,neutral
1384,облицовывать,line,neutral
1386,совершать,commit,positive
1414,одаривать,gift,positive
1413,составлять,comprise,neutral
1412,разрушать,demolish,positive
1411,подвергать,endanger,negative
1410,вмешиваться,interject,positive
1409,разбивать,shatter,negative
1408,бороться,contend,positive
1407,котиться,kitten,neutral
1463,увлажнять,dampen,neutral
1405,оценивать,evaluate,positive
1404,сговариваться,conspire,positive
1403,поддерживать,side,neutral
1402,различать,distinguish,positive
1385,опереться,plume,neutral
1401,пересматривать,revise,positive
1399,опрокидывать,overturn,positive
1398,шить,sew,neutral
1397,загущать,thicken,neutral
1396,замораживать,freeze,neutral
1395,тратить,spend,neutral
1394,организовывать,organize,positive
1393,значить,mean,neutral
1392,хлынуть,spurt,neutral
1391,окружать,compass,neutral
1390,предвидеть,foresee,positive
1389,ранить,wound,negative
1388,санкционировать,authorize,positive
1387,вторгаться,intrude,positive
1400,журчать,gurgle,neutral
1464,классифицировать,classify,positive
1472,радовать,please,neutral
1466,играть,gamble,neutral
1564,доминировать,dominate,positive
1563,заманивать,lure,positive
1562,восхищать,delight,neutral
1561,расстраивать,frustrate,negative
1560,стыковать,dock,neutral
1559,граничить,verge,neutral
1558,сосредотачивать,focus,neutral
1557,нагибаться,stoop,negative
1556,преследовать,obsess,negative
1555,бездельничать,lounge,neutral
1554,представлять,submit,negative
1553,сплющивать,flatten,positive
1552,обсуждать,deliberate,positive
1551,ошеломлять,stun,negative
1550,продвигать,promote,positive
1549,помещать,lodge,neutral
1548,набрасывать,sketch,neutral
1547,передавать,convey,positive
1546,чувствовать,feel,neutral
1545,делать,make,positive
1544,петь,sing,neutral
1543,казнить,execute,positive
1542,участвовать,participate,neutral
1540,преобразовывать,convert,positive
1539,запугивать,intimidate,positive
1538,досаждать,spite,positive
1537,вооружать,forearm,neutral
1536,терпеть,tolerate,neutral
1535,вязать,knit,neutral
1565,гримасничать,grimace,negative
1566,рвать,vomit,negative
1567,вонять,stink,negative
1568,уменьшать,diminish,neutral
1601,обходиться,fare,neutral
1600,налетать,swoop,positive
1599,разбрасывать,strew,neutral
1598,детализировать,detail,neutral
1597,ориентироваться,navigate,positive
1596,ужасать,terrify,positive
1595,планировать,plan,positive
1594,углублять,deepen,positive
1593,окружать,surround,neutral
1592,принуждать,compel,positive
1591,продвигать,advance,positive
1590,удерживать,retain,positive
1588,прибирать,tidy,positive
1586,извлекать,extract,positive
1534,плавать,swim,neutral
1585,посвящать,devote,positive
1583,вмешиваться,intervene,positive
1582,подходить,fit,neutral
1581,полировать,polish,neutral
1580,оценивать,assess,positive
1578,обнаруживать,detect,neutral
1577,восклицать,exclaim,neutral
1576,возникать,arise,neutral
1575,инвестировать,invest,positive
1574,вмешиваться,interfere,neutral
1573,парить,soar,positive
1572,передавать,hand,neutral
1571,назначать,appoint,positive
1570,изорвать,rag,negative
1569,проникать,penetrate,positive
1584,засыпать,gravel,neutral
1533,страдать,suffer,negative
1532,катить,reel,negative
1531,помнить,mind,neutral
1496,шантажировать,blackmail,positive
1495,фантазировать,fantasize,neutral
1494,прилегать,adjoin,neutral
1493,бредить,rave,neutral
1492,ускорять,hasten,positive
1491,любить,love,neutral
1490,поднимать,lift,neutral
1489,стимулировать,stimulate,positive
1488,подпиливать,file,neutral
1487,олицетворять,embody,positive
1486,затмевать,eclipse,positive
1485,очищать,refine,positive
1484,вливать,infuse,positive
1483,пасти,pasture,neutral
1497,лежать,underlie,neutral
1482,кричать,scream,neutral
1480,кормить,berry,neutral
1479,краснеть,redden,neutral
1478,сжимать,compress,positive
1477,ухудшать,worsen,negative
1476,минимизировать,minimize,positive
1475,запутывать,tangle,negative
1474,просвещать,enlighten,positive
1473,брить,shave,neutral
1353,ломать,fracture,negative
1471,подружиться,befriend,positive
1470,комкать,crumple,negative
1469,хватать,suffice,neutral
1468,слушать,listen,neutral
1467,изменять,morph,neutral
1481,иметь,have,neutral
1465,делать,do,neutral
1498,бормотать,mutter,neutral
1500,получать,get,neutral
1530,скрывать,hide,negative
1529,подавлять,suppress,positive
1528,вздрагивать,startle,negative
1527,вторгаться,invade,positive
1526,повиноваться,obey,negative
1525,украшать,bead,neutral
1524,сшивать,stitch,neutral
1523,связывать,bound,neutral
1522,суетиться,fuss,neutral
1521,просвещать,educate,positive
1520,играть,play,neutral
1519,поддерживать,sustain,positive
1518,подслушивать,overhear,negative
1517,оказывать,render,positive
1499,поддерживать,uphold,positive
1516,измельчать,shred,positive
1514,декламировать,recite,neutral
1513,пугать,frighten,positive
1512,взбалтывать,churn,neutral
1511,вести,negotiate,positive
1510,цвести,bloom,neutral
1509,сдерживать,curb,positive
1508,помогать,assist,positive
1507,терять,lose,negative
1506,оправдывать,justify,positive
1505,укрывать,scarf,neutral
1504,расслаблять,relax,neutral
1503,ужасать,terrify,negative
1502,уговаривать,persuade,positive
1501,способствовать,contribute,positive
1515,приходить,come,neutral
1352,изучать,scrutinize,positive
1341,стрелять,fire,positive
1350,брать,take,positive
1180,похищать,kidnap,positive
1179,красться,slink,negative
1178,расстраивать,unnerve,negative
1177,пинать,kick,positive
1176,становиться,become,neutral
1175,раздуваться,bloat,negative
1174,воспроизводить,replicate,neutral
1173,выполнять,accomplish,positive
1172,почитать,revere,positive
1171,реконструировать,reconstruct,positive
1170,волновать,thrill,positive
1169,отмечать,mark,neutral
1168,говорить,speak,neutral
1167,порождать,spawn,positive
1166,калечить,cripple,negative
1165,преуспевать,ace,positive
1164,передавать,impart,positive
1163,дезорганизовать,disarray,negative
1162,занимать,preoccupy,negative
1161,стонать,moan,negative
1160,транслировать,stream,neutral
1159,говорить,speak,neutral
1158,отдыхать,rest,neutral
1157,ломать,fracture,negative
1156,ошеломлять,dizzy,negative
1155,лязгать,clank,neutral
1154,сжимать,constrict,negative
1153,тосковать,yearn,neutral
1152,загружать,load,neutral
1181,визуализировать,visualize,positive
1151,стабилизировать,stabilize,positive
1182,жонглировать,juggle,positive
1184,расстегивать,undo,negative
1214,препарировать,dissect,positive
1213,пахнуть,smell,neutral
1212,отмечать,mark,neutral
1211,изолировать,insulate,positive
1210,заботиться,care,positive
1209,острить,quip,positive
1208,заворачивать,wrap,neutral
1207,вырезать,carve,positive
1206,смотреть,watch,neutral
1205,вешать,hang,neutral
1204,умирать,die,negative
1203,свергать,overthrow,positive
1202,тошнить,nauseate,negative
1201,искажать,flaw,negative
1200,накапливать,amass,positive
1199,толкаться,bump,neutral
1198,радовать,gratify,positive
1196,таять,melt,neutral
1195,ремонтировать,renovate,positive
1194,отравлять,poison,negative
1193,шагать,pace,neutral
1192,одобрять,endorse,positive
1191,обжигать,sear,negative
1190,удлинять,lengthen,positive
1189,поддерживать,back,positive
1188,видеть,sight,neutral
1187,надувать,inflate,positive
1186,увещевать,admonish,positive
1185,рассеивать,dispel,positive
1183,жаждать,crave,neutral
1150,сковывать,shackle,positive
1149,огорчать,sadden,negative
1148,ужасать,appall,negative
1113,модернизировать,upgrade,positive
1112,брызгать,squirt,neutral
1111,уполномочивать,mandate,positive
1110,ехать,ride,neutral
1109,характеризовать,characterize,neutral
1108,тыкаться,nuzzle,neutral
1106,укреплять,fortify,positive
1105,увеличивать,enlarge,positive
1104,радоваться,rejoice,positive
1103,насыщать,saturate,neutral
1102,собирать,glean,positive
1101,соединять,connect,neutral
1100,ворчать,nag,negative
1099,повторяться,recur,neutral
1098,интегрировать,integrate,positive
1097,пускать,blood,neutral
1096,указывать,point,neutral
1095,кормить,feed,neutral
1094,упираться,balk,negative
1093,воспроизводить,reproduce,neutral
1092,запрещать,bar,positive
1091,усаживать,seat,neutral
1090,помогать,help,positive
1089,начинать,start,positive
1088,обивать,pad,neutral
1087,трепать,batter,negative
1086,таращиться,goggle,neutral
1085,информировать,inform,neutral
1084,разъедать,erode,negative
1114,поднимать,elevate,neutral
1115,расширять,broaden,positive
1116,устанавливать,install,positive
1117,выбрасывать,chuck,neutral
1147,земледелие,farm,neutral
1146,мучить,agonize,negative
1145,обнимать,cuddle,neutral
1144,загружать,load,neutral
1143,таскать,tote,neutral
1142,накрывать,hood,neutral
1141,охлаждать,ice,neutral
1140,привлекать,prosecute,positive
1139,переплетать,intertwine,positive
1138,печь,bake,neutral
1137,освобождать,vacate,positive
1136,охлаждать,chill,negative
1135,преследовать,haunt,negative
1134,беспокоить,unsettle,negative
1215,уходить,go,neutral
1133,убивать,assassinate,positive
1131,подниматься,climb,positive
1130,пронзительно,squawk,neutral
1129,общаться,socialize,neutral
1128,сочувствовать,sympathize,neutral
1127,обобщать,summarize,neutral
1126,изумлять,amaze,positive
1125,держать,hold,neutral
1124,освежать,refresh,positive
1123,бродить,wander,negative
1122,проваливаться,fail,negative
1121,разъярять,enrage,negative
1120,нравиться,like,neutral
1119,произносить,mouth,neutral
1118,объединять,unite,positive
1132,вводить,input,positive
1216,трущобиться,slum,negative
1217,ошпаривать,scald,negative
1218,зацикливаться,fixate,negative
1314,соответствовать,correspond,neutral
1313,ущипнуть,nip,neutral
1312,пропускать,miss,negative
1311,угрожать,threaten,positive
1310,взаимодействовать,interact,neutral
1309,развлекать,entertain,neutral
1308,перехватывать,intercept,positive
1307,заводить,wind,neutral
1306,выдерживать,withstand,positive
1305,засорять,clog,negative
1304,даровать,bestow,positive
1303,использовать,use,neutral
1302,дрожать,tremble,negative
1301,перекрывать,overlap,neutral
1300,пульсировать,throb,negative
1299,развлекать,amuse,neutral
1298,кровоточить,bleed,negative
1297,приближать,zoom,neutral
1296,воссоединяться,rejoin,neutral
1295,пиратствовать,pirate,positive
1294,вовлекать,involve,neutral
1293,маскировать,camouflage,neutral
1292,затмевать,dwarf,positive
1291,кондиционировать,condition,neutral
1290,ускорять,quicken,neutral
1289,передавать,transmit,neutral
1288,увеличивать,magnify,neutral
1287,проклинать,curse,negative
1286,улучшать,refine,positive
1315,соблазнять,tempt,neutral
1316,покидать,desert,negative
1317,предписывать,prescribe,positive
1318,приходить,come,neutral
1349,происходить,originate,positive
1348,разрушать,disintegrate,negative
1347,заканчивать,finish,neutral
1346,рубцевать,scar,negative
1345,направлять,funnel,neutral
1344,жужжать,buzz,neutral
1343,ухудшаться,deteriorate,negative
1342,сигналить,honk,neutral
1602,изнашивать,wear,negative
1340,демонтировать,dismantle,positive
1339,провозить,smuggle,positive
1338,истекать,expire,negative
1337,охватывать,encompass,neutral
1336,проходить,pass,neutral
1285,делиться,share,positive
1335,изменять,modify,positive
1332,надвигаться,impend,negative
1331,отгонять,shoo,positive
1330,развертывать,deploy,positive
1329,паниковать,panic,negative
1328,смотреть,look,neutral
1327,волновать,agitate,positive
1326,кричать,shout,neutral
1325,оставаться,remain,neutral
1324,скорбеть,mourn,negative
1323,вводить,inject,positive
1322,отражать,deflect,positive
1321,рекламировать,advertise,neutral
1320,проверять,verify,positive
1319,звонить,ring,neutral
1333,мучить,excruciate,negative
1351,рвать,tear,negative
1284,бронировать,armor,positive
1282,подвергать,jeopardize,negative
1247,телеграфировать,telegraph,positive
1246,шуршать,rustle,neutral
1245,трещать,crackle,neutral
1244,опасаться,misgive,negative
1243,катать,bowl,positive
1242,раскраснеться,flush,neutral
1241,располагать,endear,positive
1240,критиковать,critique,positive
1239,икать,hiccup,negative
1238,помнить,remember,neutral
1237,расстраивать,derange,negative
1236,поливать,water,neutral
1235,облегчать,alleviate,positive
1234,укреплять,solidify,positive
1233,увольнять,ax,positive
1232,приветствовать,welcome,positive
1231,предпринимать,undertake,positive
1230,размешивать,stir,positive
1229,обставлять,furnish,neutral
1228,вдохновлять,inspire,positive
1227,ассортировать,assort,neutral
1226,ранить,injure,negative
1225,умиротворять,placate,positive
1224,заражать,contaminate,negative
1223,повторять,reiterate,positive
1222,инвалидизировать,disable,negative
1221,выгибать,arch,neutral
1220,писать,spell,neutral
1219,выдвигать,nominate,positive
1248,переплетать,entwine,positive
1249,порхать,swan,neutral
1250,воскрешать,resurrect,positive
1251,отрезать,snip,positive
1281,рвать,vomit,negative
1280,сажать,plant,neutral
1279,прыгать,parachute,neutral
1278,отсрочивать,stave,positive
1277,переосмысливать,rethink,positive
1276,хлюпать,slurp,neutral
1275,воспоминать,reminisce,neutral
1274,превосходить,outweigh,neutral
1273,соответствовать,conform,neutral
1272,давить,crush,negative
1271,болеть,ache,negative
1270,высаживаться,disembark,neutral
1269,валяться,wallow,negative
1268,подписываться,subscribe,neutral
1283,вовлекать,engage,neutral
1267,отрезать,clip,neutral
1265,хлопать,bang,neutral
1264,пожинать,reap,positive
1263,оставлять,impoverish,negative
1262,связывать,bind,neutral
1261,отсрочивать,reprieve,positive
1260,расстраивать,unnerve,negative
1259,обносить,wall,neutral
1258,продлевать,prolong,neutral
1257,применять,ply,positive
1256,ненавидеть,loathe,negative
1255,звенеть,jangle,neutral
1254,жарить,roast,neutral
1253,концентрировать,concentrate,neutral
1252,приправлять,season,neutral
1266,разводить,breed,neutral
1603,негодовать,resent,negative
1615,одеваться,dress,neutral
1605,размещать,accommodate,neutral
1974,беспокоиться,fret,negative
1973,исцелять,heal,positive
1972,перевозить,ferry,neutral
1971,хлопать,whack,positive
1970,обедать,dine,neutral
1969,очаровывать,fascinate,negative
1968,лететь,eagle,neutral
1967,нырять,dive,neutral
1966,диагностировать,diagnose,positive
1965,исправлять,amend,positive
1964,душить,smother,positive
1963,отражать,fend,positive
1962,притворяться,feign,positive
1961,визжать,yelp,negative
1960,бесить,infuriate,positive
1959,обманывать,deceive,positive
1958,закладывать,pledge,positive
1957,сбивать,baffle,positive
1956,вилять,wag,neutral
1955,тревожить,unsettle,negative
1954,просеивать,sift,neutral
1953,ослеплять,dazzle,positive
1952,редактировать,edit,positive
1951,пунктировать,punctuate,neutral
1950,парализовать,paralyze,negative
1949,снабжать,stock,neutral
1947,шелушиться,flake,negative
1946,выравнивать,align,neutral
1944,воспламенять,ignite,positive
1975,рассуждать,reason,neutral
1943,воспроизводить,replay,neutral
1976,приправлять,spice,neutral
1978,сочиться,ooze,negative
2007,скончаться,decease,negative
2006,напрягать,exert,positive
2005,кататься,ski,neutral
2004,пить,drink,neutral
2003,отставать,lag,negative
2002,подавлять,depress,negative
2001,скручивать,twist,neutral
2000,усеивать,fleck,neutral
1999,предпочитать,prefer,neutral
1998,проверять,test,neutral
1997,потрясать,stagger,negative
1996,облачать,uniform,neutral
1995,презирать,scorn,positive
1994,изображать,portray,neutral
1993,проповедовать,preach,positive
1992,запечатлевать,imprint,neutral
1991,погружать,immerse,positive
1990,жить,shack,neutral
1989,сутулиться,slouch,negative
1988,плакать,weep,negative
1987,вращаться,revolve,negative
1986,цивилизовать,civilize,neutral
1985,кипеть,seethe,negative
1984,дактилоскопировать,fingerprint,neutral
1983,подрывать,undermine,positive
1982,возмущать,outrage,negative
1981,чинить,mend,positive
1980,сдавать,lease,neutral
1979,поощрять,encourage,positive
1977,усеивать,speck,neutral
2008,объединять,unite,positive
1942,поднимать,elevate,positive
1940,врываться,barge,positive
1904,находить,find,positive
1903,плюхаться,plop,neutral
1902,материализоваться,materialize,positive
1901,знать,know,neutral
1900,превышать,exceed,positive
1899,вызывать,disgust,negative
1898,предпринимать,undertake,positive
1897,подходить,suit,neutral
1896,ограничивать,restrict,negative
1895,считать,reckon,positive
1894,учить,learn,neutral
1893,клевать,peck,neutral
1892,обещать,promise,positive
1891,обострять,escalate,positive
1890,смаковать,savor,positive
1889,совещаться,confer,positive
1888,прыгать,leap,positive
1887,прихлопнуть,swat,positive
1886,специализироваться,specialize,positive
1885,давить,squash,positive
1884,действовать,proceed,neutral
1883,рассеивать,dissipate,negative
1882,угнетать,depress,negative
1881,истощать,exhaust,negative
1880,противоречить,contradict,positive
1879,править,govern,positive
1878,бородить,beard,neutral
1877,тревожить,alarm,negative
1876,составлять,constitute,positive
1905,отличаться,differ,neutral
1941,грызть,gnaw,neutral
1906,посвящать,dedicate,positive
1908,тревожить,alarm,negative
1939,зарубать,notch,neutral
1938,корчиться,writhe,negative
1937,вянуть,wither,negative
1936,доносить,peach,positive
1935,испытывать,essay,neutral
1934,шептать,whisper,neutral
1933,усыпать,freckle,neutral
1932,комкать,wad,neutral
1931,калечить,lame,negative
1930,исключать,expel,positive
1929,обставлять,furnish,neutral
1928,парить,steam,neutral
1927,жаждать,thirst,negative
1926,мостить,pave,positive
1925,разбрызгивать,splatter,neutral
1923,тошнить,sicken,negative
1922,допрашивать,interrogate,positive
1921,получать,derive,neutral
1920,торговать,deal,neutral
1919,располагать,situate,positive
1918,порхать,flit,neutral
1917,украшать,adorn,positive
1916,проституировать,prostitute,negative
1915,стремиться,strive,positive
1913,воссоединять,reunite,positive
1912,наделять,privilege,positive
1911,наклонять,slant,neutral
1910,удерживать,withhold,positive
1909,стремительно,plummet,negative
1907,кивать,nod,neutral
1875,ёрзать,fidget,negative
2009,развязывать,untie,positive
2011,отключать,disconnect,positive
2106,уменьшать,decrease,neutral
2105,принимать,enact,positive
2104,отскакивать,ricochet,neutral
2103,угождать,cater,neutral
2102,закупоривать,cork,neutral
2101,грабить,loot,positive
2100,размахивать,brandish,positive
